"Year","rtCode","ptCode","NW_M","TV_M","NW_X","TV_X","UV_M","UV_X","metaData"
2013,422,792,13518000,3154824.5575371,16561000,3499067,233.379535252042,211.283557756174,NA
2013,422,804,151232760,44120569.3625,182047577,44685124.49,291.739497199549,245.458496214976,NA
2013,422,818,71575,113711.23477775,186600,164246.711757415,1588.70045096402,880.207458507048,NA
2013,422,842,396752.061379437,534328.11654225,328024,291821,1346.75574131735,889.633075628612,NA
2013,426,710,84612648,22369414.1651663,84612648,20335831.0592421,264.37435411744,240.340321924945,"mirrored import for non-reporter"
2013,426,818,26,48.05064,26,43.6824,1848.10153846154,1680.09230769231,"mirrored import for non-reporter"
2013,428,32,0,0,26080,22408,0,859.20245398773,NA
2013,428,40,24524,110101.20681948,37200,203610.3775704,4489.52890309411,5473.39724651613,NA
2013,428,203,65598,128482.89747306,62741,118902,1958.64046881094,1895.1244003124,NA
2013,428,208,44408,82155.52006266,44408,73939.968056394,1850.01621470591,1665.01459323532,"mirrored export for non-reporter"
2013,428,233,1425690,421513.00644894,1960797,591225.3645144,295.655441539844,301.522985048631,NA
2013,428,246,120,158.70716568,220,286.90714512,1322.559714,1304.12338690909,NA
2013,428,251,186454,802208.0413818,204751,970678.01107064,4302.44479271992,4740.7729929067,NA
2013,428,276,65745.005204497,316452.64151082,338233.415827765,262561.82007536,4813.33358369214,776.274039727233,NA
2013,428,348,61710,27129.47847618,880858,228041,439.628560625182,258.885087040136,NA
2013,428,440,12141351,3157290.1241016,8837729,2929209,260.044382548664,331.443632181978,NA
2013,428,528,4575,15558.9703497,35028.5432976397,26940.9795165,3400.867836,769.115041056114,NA
2013,428,616,318720.694916291,269065.3269582,54711,109934,844.204129979283,2009.35826433441,NA
2013,428,703,30876,140521.9696125,0,0,4551.17144748348,0,NA
2013,428,804,16706923,3959127.84876348,21485123,4030485.41,236.975285560571,187.594244166068,NA
2013,428,842,20821,27104.91665292,20821,27222,1301.80666888814,1307.42999855915,NA
2013,430,32,510900,479782.6,510900,436166,939.092973184576,853.720884713251,"mirrored import for non-reporter"
2013,430,251,10,32.133214234,10,29.21201294,3213.3214234,2921.201294,"mirrored import for non-reporter"
2013,430,288,288.18,205.67093788483,288.18,186.9735798953,713.689145273197,648.808313884725,"mirrored import for non-reporter"
2013,430,384,15000,7021.02555,15000,6382.7505,468.06837,425.5167,"mirrored import for non-reporter"
2013,430,422,780,1261.579394845,780,1146.89035895,1617.40948057051,1470.3722550641,"mirrored import for non-reporter"
2013,430,724,125000,49301.03437875,125000,44819.1221625,394.40827503,358.5529773,"mirrored import for non-reporter"
2013,434,32,32886000,9992423.1,32886000,9084021,303.850364896917,276.227604451742,"mirrored import for non-reporter"
2013,434,100,120309220,30604611.3005546,120309220,27822373.9095951,254.382925103783,231.257204639803,"mirrored import for non-reporter"
2013,434,251,8019,46739.220704,8019,42490.20064,5828.55975857339,5298.69068961217,"mirrored import for non-reporter"
2013,434,504,17585490,6266207.38873173,17585490,5696552.1715743,356.328279094397,323.934799176725,"mirrored import for non-reporter"
2013,434,642,99066078,26760236.8,99066078,24327488,270.125125979046,245.568296344587,"mirrored import for non-reporter"
2013,434,643,96490886,23241587.721,96490886,21128716.11,240.868217553728,218.971106867026,"mirrored import for non-reporter"
2013,434,699,18000,7944.642275372,18000,7222.40206852,441.369015298445,401.244559362222,"mirrored import for non-reporter"
2013,434,792,218000,183694.5,218000,166995,842.635321100918,766.032110091743,"mirrored import for non-reporter"
2013,434,804,290934328,79616414.669,290934328,72378558.79,273.657684936375,248.779713578523,"mirrored import for non-reporter"
2013,434,818,239555.555555556,28253.4359773169,239555.555555556,25684.9417975608,117.941059274514,107.219144795013,"mirrored import for non-reporter"
